province,year,manslaughter,theft,scam
Alava,2010,0,10,23
Albacete,2010,1,991,235
Alicante,2010,14,4209,1152
Almeria,2010,20,1101,391
Avila,2010,0,211,92
Badajoz,2010,1,1156,316
Islas Baleares,2010,6,3021,817
Barcelona,2010,2,16071,3739
Burgos,2010,3,769,237
Caceres,2010,1,532,137
Cadiz,2010,15,2783,754
Castellon,2010,6,1292,287
Ciudad Real,2010,3,888,269
Cordoba,2010,3,1327,330
A Coruña,2010,8,2338,591
Cuenca,2010,2,250,104
Girona,2010,0,1685,534
Granada,2010,5,1926,468
Guadalajara,2010,1,372,139
Gipuzkoa,2010,0,12,31
Huelva,2010,1,1003,219
Huesca,2010,1,237,85
Jaen,2010,3,963,253
Leon,2010,0,912,281
Lleida,2010,0,821,302
La Rioja,2010,1,715,107
Lugo,2010,1,445,175
Madrid,2010,45,21442,4556
Malaga,2010,17,6038,2125
Murcia,2010,14,3003,689
Navarra,2010,3,778,286
Ourense,2010,2,360,114
Asturias,2010,18,1961,576
Palencia,2010,1,290,63
Las Palmas,2010,5,2441,763
Pontevedra,2010,5,1674,568
Salamanca,2010,1,995,178
Santa Cruz de Tenerife,2010,13,2332,591
Cantabria,2010,1,1173,297
Segovia,2010,0,251,100
Sevilla,2010,16,3589,1111
Soria,2010,1,89,39
Teruel,2010,1,124,42
Valencia,2010,4,6548,1564
Bizkaia,2010,3,18,70
Zaragoza,2010,0,2355,620
Melilla,2010,1,165,31
Alava,2011,0,6,23
Albacete,2011,0,1029,254
Alicante,2011,12,4737,1387
Almeria,2011,15,1089,347
Avila,2011,1,191,79
Badajoz,2011,6,1132,352
Islas Baleares,2011,11,3043,880
Barcelona,2011,2,17673,4216
Burgos,2011,4,937,254
Caceres,2011,1,463,119
Cadiz,2011,11,2987,723
Castellon,2011,6,1208,260
Ciudad Real,2011,4,743,420
Cordoba,2011,8,1207,327
A Coruña,2011,8,2195,550
Cuenca,2011,3,208,70
Girona,2011,0,1621,597
Granada,2011,7,2096,444
Guadalajara,2011,0,438,153
Gipuzkoa,2011,0,6,29
Huelva,2011,3,1097,333
Huesca,2011,1,293,106
Jaen,2011,10,822,318
Leon,2011,2,1032,261
Lleida,2011,1,867,369
La Rioja,2011,2,651,142
Lugo,2011,1,446,129
Madrid,2011,46,21646,4574
Malaga,2011,15,5942,2095
Murcia,2011,7,2999,821
Navarra,2011,5,761,234
Ourense,2011,1,362,99
Asturias,2011,9,2016,606
Palencia,2011,1,314,56
Las Palmas,2011,10,3170,835
Pontevedra,2011,4,1546,576
Salamanca,2011,0,812,165
Santa Cruz de Tenerife,2011,6,2356,572
Cantabria,2011,2,1212,348
Segovia,2011,5,268,95
Sevilla,2011,8,4154,1262
Soria,2011,0,104,25
Teruel,2011,0,151,39
Valencia,2011,1,6747,1742
Bizkaia,2011,3,11,65
Zaragoza,2011,1,2157,678
Melilla,2011,3,299,32
Alava,2012,0,2,23
Albacete,2012,4,1001,310
Alicante,2012,16,5075,1677
Almeria,2012,9,1234,413
Avila,2012,0,173,78
Badajoz,2012,11,1176,401
Islas Baleares,2012,4,3351,975
Barcelona,2012,0,17391,4867
Burgos,2012,3,1009,261
Caceres,2012,0,445,137
Cadiz,2012,8,3484,856
Castellon,2012,2,1387,360
Ciudad Real,2012,3,812,477
Cordoba,2012,4,1486,410
A Coruña,2012,7,2219,668
Cuenca,2012,2,235,87
Girona,2012,0,1738,596
Granada,2012,12,2068,569
Guadalajara,2012,1,463,133
Gipuzkoa,2012,0,10,48
Huelva,2012,3,1355,286
Huesca,2012,0,355,114
Jaen,2012,6,977,421
Leon,2012,6,1023,297
Lleida,2012,0,994,390
La Rioja,2012,0,638,161
Lugo,2012,1,445,147
Madrid,2012,38,23596,4909
Malaga,2012,17,6367,2142
Murcia,2012,8,3352,1011
Navarra,2012,4,953,287
Ourense,2012,2,451,142
Asturias,2012,6,2407,672
Palencia,2012,0,270,75
Las Palmas,2012,10,3028,968
Pontevedra,2012,4,1753,598
Salamanca,2012,0,880,211
Santa Cruz de Tenerife,2012,2,2937,646
Cantabria,2012,1,1373,339
Segovia,2012,1,288,106
Sevilla,2012,7,4687,1383
Soria,2012,0,114,67
Teruel,2012,1,142,54
Valencia,2012,6,7268,1936
Bizkaia,2012,1,15,45
Zaragoza,2012,1,2276,650
Melilla,2012,0,388,35
Alava,2013,0,7,52
Albacete,2013,3,1176,318
Alicante,2013,9,5378,1655
Almeria,2013,6,1466,425
Avila,2013,0,206,121
Badajoz,2013,5,1645,396
Islas Baleares,2013,8,4380,924
Barcelona,2013,0,17648,5303
Burgos,2013,3,873,241
Caceres,2013,2,567,151
Cadiz,2013,6,4148,852
Castellon,2013,4,1517,436
Ciudad Real,2013,7,966,401
Cordoba,2013,5,1738,428
A Coruña,2013,5,2345,601
Cuenca,2013,2,227,112
Girona,2013,1,1715,716
Granada,2013,6,2126,558
Guadalajara,2013,1,477,128
Gipuzkoa,2013,0,16,59
Huelva,2013,2,1451,318
Huesca,2013,1,404,87
Jaen,2013,5,968,441
Leon,2013,7,1200,327
Lleida,2013,0,1127,370
La Rioja,2013,0,671,151
Lugo,2013,1,448,139
Madrid,2013,34,25364,4775
Malaga,2013,15,5596,1964
Murcia,2013,5,3699,852
Navarra,2013,3,1034,378
Ourense,2013,2,497,140
Asturias,2013,8,2496,714
Palencia,2013,2,335,79
Las Palmas,2013,5,3501,928
Pontevedra,2013,3,2095,722
Salamanca,2013,1,1021,207
Santa Cruz de Tenerife,2013,11,2931,563
Cantabria,2013,4,1565,382
Segovia,2013,1,238,120
Sevilla,2013,10,5331,1619
Soria,2013,1,100,55
Teruel,2013,0,125,50
Valencia,2013,1,8388,2040
Bizkaia,2013,4,15,77
Zaragoza,2013,3,2491,734
Melilla,2013,2,308,47
Alava,2014,0,21,32
Albacete,2014,2,1165,265
Alicante,2014,10,4629,1678
Almeria,2014,8,1301,446
Avila,2014,1,169,96
Badajoz,2014,6,1608,394
Islas Baleares,2014,10,3540,886
Barcelona,2014,0,17576,5003
Burgos,2014,1,876,236
Caceres,2014,0,478,163
Cadiz,2014,13,4006,1000
Castellon,2014,6,1521,533
Ciudad Real,2014,3,885,381
Cordoba,2014,3,1470,524
A Coruña,2014,5,2200,613
Cuenca,2014,3,238,99
Girona,2014,1,1711,710
Granada,2014,8,2040,555
Guadalajara,2014,0,341,165
Gipuzkoa,2014,0,5,42
Huelva,2014,3,1581,317
Huesca,2014,0,408,123
Jaen,2014,4,1082,459
Leon,2014,4,1106,355
Lleida,2014,0,920,404
La Rioja,2014,3,603,162
Lugo,2014,3,399,170
Madrid,2014,33,24198,5306
Malaga,2014,16,5426,1980
Murcia,2014,7,3551,905
Navarra,2014,2,1246,495
Ourense,2014,2,632,151
Asturias,2014,7,2295,937
Palencia,2014,1,319,97
Las Palmas,2014,5,3354,925
Pontevedra,2014,8,1939,708
Salamanca,2014,0,962,261
Santa Cruz de Tenerife,2014,5,2940,612
Cantabria,2014,2,1382,377
Segovia,2014,0,246,108
Sevilla,2014,8,5344,1411
Soria,2014,0,118,61
Teruel,2014,0,110,62
Valencia,2014,7,7879,2039
Bizkaia,2014,6,8,87
Zaragoza,2014,3,2315,678
Melilla,2014,4,233,49
Alava,2015,0,2,30
Albacete,2015,2,1108,281
Alicante,2015,27,4706,1674
Almeria,2015,8,1214,508
Avila,2015,1,153,101
Badajoz,2015,0,1434,427
Islas Baleares,2015,9,3241,820
Barcelona,2015,1,16220,4979
Burgos,2015,1,688,299
Caceres,2015,1,387,189
Cadiz,2015,11,3548,1094
Castellon,2015,1,1567,522
Ciudad Real,2015,5,932,476
Cordoba,2015,2,1404,651
A Coruña,2015,4,2285,677
Cuenca,2015,3,188,107
Girona,2015,0,1720,671
Granada,2015,6,2047,685
Guadalajara,2015,2,337,166
Gipuzkoa,2015,0,16,39
Huelva,2015,0,1419,293
Huesca,2015,1,279,114
Jaen,2015,4,922,478
Leon,2015,3,905,404
Lleida,2015,0,947,414
La Rioja,2015,1,609,146
Lugo,2015,0,386,192
Madrid,2015,27,21567,5142
Malaga,2015,15,4678,1887
Murcia,2015,11,3507,960
Navarra,2015,10,1138,412
Ourense,2015,1,408,174
Asturias,2015,4,1897,765
Palencia,2015,1,262,103
Las Palmas,2015,14,3302,983
Pontevedra,2015,12,1893,735
Salamanca,2015,2,864,197
Santa Cruz de Tenerife,2015,6,2703,651
Cantabria,2015,4,1238,385
Segovia,2015,0,235,121
Sevilla,2015,15,5049,1375
Soria,2015,1,104,69
Teruel,2015,1,103,77
Valencia,2015,2,7393,2215
Bizkaia,2015,0,10,84
Zaragoza,2015,0,2197,645
Melilla,2015,2,283,50
Alava,2016,0,44,27
Albacete,2016,1,964,254
Alicante,2016,12,4965,1771
